mission,target_id,ra,dec,period_days,transit_duration_hours,depth_ppm,planet_radius_re,stellar_radius_rs,stellar_teff_k,stellar_logg,snr,disposition,source
KEPLER,K01305.01,291.3909,48.065609,2.633852528,2.0206,259.8,1.38,0.878,5114.0,4.463,23.3,CONFIRMED,kepler_koi
KEPLER,K01305.02,291.3909,48.065609,6.18670882,2.909,202.6,1.21,0.878,5114.0,4.463,14.3,CONFIRMED,kepler_koi
KEPLER,K01307.02,290.92746,48.44355,20.34237838,2.3351,564.6,2.88,1.071,5514.0,4.345,28.7,CONFIRMED,kepler_koi
KEPLER,K01308.01,285.42429,47.83461,23.58444746,5.5545,429.2,3.0,1.354,5655.0,4.152,42.8,CONFIRMED,kepler_koi
KEPLER,K01309.01,288.85529,48.208542,10.1171684,4.6677,288.7,3.07,1.792,6306.0,4.077,50.6,CONFIRMED,kepler_koi
KEPLER,K01310.01,285.66269,48.435371,19.12947603,3.9622,451.2,4.23,1.71,5372.0,4.007,31.7,CONFIRMED,kepler_koi
KEPLER,K01310.02,285.66269,48.435371,144.688915,9.468,397.1,3.33,1.71,5372.0,4.007,11.6,CANDIDATE,kepler_koi
KEPLER,K01317.01,294.77393,39.333839,2.171827838,3.2205,42086.0,58.56,0.891,5650.0,4.513,300.6,FALSE POSITIVE,kepler_koi
KEPLER,K01318.01,294.88181,39.161072,1.634614356,3.4422,19761.5,44.22,0.97,6121.0,4.468,376.5,FALSE POSITIVE,kepler_koi
KEPLER,K01319.01,296.47937,39.127571,16.025018977,3.8828,29090.0,1069.01,0.789,5776.0,4.582,257.8,FALSE POSITIVE,kepler_koi
KEPLER,K01320.01,293.36285,39.212448,10.50682978,3.7769,13355.5,9.01,0.782,5127.0,4.589,343.4,CONFIRMED,kepler_koi
KEPLER,K01321.01,295.73193,39.587521,0.711966971,2.0221,6227.5,33.34,0.83,5486.0,4.47,392.2,FALSE POSITIVE,kepler_koi
KEPLER,K01327.01,293.61121,39.417519,15.6402515,6.222,800.3,18.11,0.826,5346.0,4.491,19.3,FALSE POSITIVE,kepler_koi
KEPLER,K01328.01,295.80585,39.17799,80.9669561,2.5276,4733.0,5.04,0.737,5611.0,4.61,52.0,CANDIDATE,kepler_koi
KEPLER,K01329.01,295.37079,39.177212,33.1996355,5.022,1112.5,2.85,0.88,5102.0,4.463,32.6,CONFIRMED,kepler_koi
KEPLER,K01330.01,289.7261,39.272831,8.65306587,4.486,1048.1,19.78,0.694,4641.0,4.589,43.0,FALSE POSITIVE,kepler_koi
KEPLER,K01330.02,289.7261,39.272831,94.219289,24.312,1025.9,2.15,0.694,4641.0,4.589,37.6,FALSE POSITIVE,kepler_koi
KEPLER,K01334.02,289.7439,39.286301,94.225938,22.08,530.4,1.93,0.852,5421.0,4.564,25.4,FALSE POSITIVE,kepler_koi
KEPLER,K01335.01,291.02014,39.22068,127.8334997,10.914,1829.9,9.46,2.17,6505.0,3.973,76.9,CONFIRMED,kepler_koi
KEPLER,K01336.01,296.35867,39.115189,10.21864532,3.802,445.3,2.33,1.083,6100.0,4.376,26.6,CONFIRMED,kepler_koi
KEPLER,K01336.02,296.35867,39.115189,15.573637,5.326,468.1,2.94,1.083,6100.0,4.376,24.7,CONFIRMED,kepler_koi
KEPLER,K01336.03,296.35867,39.115189,40.1015561,5.246,550.0,2.92,1.083,6100.0,4.376,19.0,CONFIRMED,kepler_koi
KEPLER,K00733.01,290.9343,47.357601,5.924993927,2.8874,1608.1,3.15,0.679,5016.0,4.641,68.5,CONFIRMED,kepler_koi
KEPLER,K00733.02,290.9343,47.357601,11.34934848,3.1101,1249.8,2.39,0.679,5016.0,4.641,41.7,CONFIRMED,kepler_koi
KEPLER,K00733.03,290.9343,47.357601,3.13295351,2.2207,435.2,1.39,0.679,5016.0,4.641,23.9,CONFIRMED,kepler_koi
KEPLER,K00733.04,290.9343,47.357601,18.64349986,1.8491,813.4,2.14,0.679,5016.0,4.641,16.1,CONFIRMED,kepler_koi
KEPLER,K00734.01,291.1973,47.3078,24.5434566,7.2518,1151.3,3.08,0.91,5955.0,4.52,64.5,CONFIRMED,kepler_koi
KEPLER,K00738.02,298.34833,47.49123,13.28689997,3.2825,1039.6,2.78,0.87,5730.0,4.545,41.3,CONFIRMED,kepler_koi
KEPLER,K00739.01,282.9838,47.57859,1.287076693,1.4942,729.4,1.39,0.525,3736.0,4.724,65.2,CONFIRMED,kepler_koi
KEPLER,K00740.01,287.60818,47.509682,17.6717714,3.4202,918.6,2.44,0.687,4869.0,4.636,36.2,CONFIRMED,kepler_koi
KEPLER,K00741.01,296.95724,47.55381,23.355341391,4.60672,38524.0,21.55,0.905,5754.0,4.534,1144.3,FALSE POSITIVE,kepler_koi
KEPLER,K00742.01,297.07993,47.597401,11.521446064,3.6399,17984.3,150.51,0.848,5795.0,4.554,622.1,FALSE POSITIVE,kepler_koi
KEPLER,K00748.01,283.76547,47.804298,2.696370652,3.6129,397.9,1.58,0.819,4989.0,4.504,48.2,FALSE POSITIVE,kepler_koi
KEPLER,K00749.01,292.37613,47.880989,5.349553819,3.0278,831.0,2.55,0.91,5185.0,4.44,60.6,CONFIRMED,kepler_koi
KEPLER,K00749.02,292.37613,47.880989,3.94105221,2.5984,363.3,1.7,0.91,5185.0,4.44,28.9,CONFIRMED,kepler_koi
KEPLER,K00749.03,292.37613,47.880989,8.10904807,3.596,217.4,1.3,0.91,5185.0,4.44,14.1,CONFIRMED,kepler_koi
KEPLER,K00750.01,290.46512,47.92918,21.67699193,3.4555,857.2,2.95,0.828,4954.0,4.5,34.3,CONFIRMED,kepler_koi
KEPLER,K00757.01,286.99948,48.37579,16.06864674,3.5347,4914.3,5.76,0.848,5031.0,4.485,161.9,CONFIRMED,kepler_koi
KEPLER,K00757.02,286.99948,48.37579,41.19725502,4.6297,2213.9,3.86,0.848,5031.0,4.485,51.2,CONFIRMED,kepler_koi
KEPLER,K00757.03,286.99948,48.37579,6.252962249,2.5819,1036.9,2.65,0.848,5031.0,4.485,47.1,CONFIRMED,kepler_koi
KEPLER,K00758.01,297.02563,48.478588,16.01308419,3.2554,1121.9,3.1,0.826,5015.0,4.499,33.2,CONFIRMED,kepler_koi
KEPLER,K00759.01,285.71854,48.505859,32.62876672,4.7971,1804.8,3.36,0.798,5586.0,4.56,80.0,CONFIRMED,kepler_koi
KEPLER,K00759.02,285.71854,48.505859,91.7732862,6.473,652.0,2.12,0.798,5586.0,4.56,19.1,CONFIRMED,kepler_koi
KEPLER,K00760.01,292.16705,48.727589,4.959319244,2.22739,9802.0,12.21,1.082,5712.0,4.359,696.5,CONFIRMED,kepler_koi
KEPLER,K00835.02,294.20215,40.66341,56.2279271,3.57,862.7,2.37,0.756,4959.0,4.603,20.9,CONFIRMED,kepler_koi
