mission,target_id,ra,dec,period_days,transit_duration_hours,depth_ppm,planet_radius_re,stellar_radius_rs,stellar_teff_k,stellar_logg,snr,disposition,source
KEPLER,K03029.02,298.75836,41.159882,6.34724702,3.097,159.8,1.35,0.986,5300.0,4.385,11.1,CANDIDATE,kepler_koi
KEPLER,K03117.01,292.1218,41.927029,6.06664931,1.962,65.3,0.87,0.892,5569.0,4.521,10.9,CANDIDATE,kepler_koi
KEPLER,K00316.01,282.39194,43.889351,15.77111067,5.0574,547.1,2.62,1.143,5620.0,4.333,123.2,CONFIRMED,kepler_koi
KEPLER,K03119.01,296.58719,40.722988,2.184437698,1.0422,1546.8,0.94,0.25,3421.0,5.014,19.7,CANDIDATE,kepler_koi
KEPLER,K03120.01,287.36328,49.45689,4.13592927,2.377,156.2,1.43,1.152,5886.0,4.345,15.2,CONFIRMED,kepler_koi
KEPLER,K03121.01,297.53055,48.38747,1.926888595,1.235,130.0,1.31,1.1,6268.0,4.429,11.7,FALSE POSITIVE,kepler_koi
KEPLER,K03122.01,295.53839,51.202961,8.05337912,5.382,38.3,1.28,2.062,6231.0,3.976,14.9,CONFIRMED,kepler_koi
KEPLER,K03123.01,301.04813,44.037689,15.2311195,3.91,269.1,1.94,1.186,5836.0,4.316,13.1,CANDIDATE,kepler_koi
KEPLER,K03237.01,285.33063,42.040428,33.4203001,5.307,436.6,2.46,1.066,5731.0,4.372,8.9,CONFIRMED,kepler_koi
KEPLER,K00322.01,290.20993,45.251904,5.888835386,3.7988,19466.0,584.67,1.0,5780.0,4.438,208.2,FALSE POSITIVE,kepler_koi
KEPLER,K03238.01,300.02124,46.090778,58.3437362,22.482,1266.8,93.55,3.006,5896.0,3.65,75.0,FALSE POSITIVE,kepler_koi
KEPLER,K03239.01,298.89642,40.477009,1.070982122,1.255,43.4,0.98,1.433,5717.0,4.109,9.0,FALSE POSITIVE,kepler_koi
KEPLER,K03240.01,292.34503,41.585289,1.245331397,2.566,38.1,1.61,2.477,6106.0,3.781,26.5,FALSE POSITIVE,kepler_koi
KEPLER,K03241.01,294.17792,46.191711,8.21429932,3.099,70.7,1.66,1.869,6277.0,3.951,19.7,FALSE POSITIVE,kepler_koi
KEPLER,K03242.01,284.45609,42.439831,1.54945486,6.698,21.8,1.34,2.804,7382.0,3.838,20.9,FALSE POSITIVE,kepler_koi
KEPLER,K03334.01,296.33862,48.75758,95.178317934,3.60125,128575.0,28.75,0.653,4523.0,4.615,2279.1,FALSE POSITIVE,kepler_koi
KEPLER,K00330.01,296.85922,49.162048,7.97420583,5.3503,293.1,1.85,1.081,5973.0,4.386,55.1,CONFIRMED,kepler_koi
KEPLER,K03335.01,293.07062,48.387741,31.2543238,5.662,438.0,2.29,1.092,6246.0,4.433,14.7,CONFIRMED,kepler_koi
KEPLER,K03336.01,294.35663,45.195011,61.4911479,9.745,58702.9,22.76,0.876,5830.0,4.54,1421.7,FALSE POSITIVE,kepler_koi
